timeStamp= 1305031229.528748; T[0]= 0.000000000; T[1]= 0.000000000; T[2]= 0.000000000; x= 0.000000000; y=  0.000000000; z=  0.000000000; w= 1.000000000
timeStamp= 1305031230.098242044; T[0]= -0.013888586; T[1]= -0.018971652; T[2]= 0.022459025; x= -0.014538375; y=  -0.348973483; z=  0.054822974; w= 0.935414612
timeStamp= 1305031230.129919052; T[0]= -0.016499033; T[1]= -0.019084511; T[2]= 0.021251906; x= -0.015129730; y=  -0.362000138; z=  0.056003947; w= 0.930371165
timeStamp= 1305031230.165771008; T[0]= -0.016971841; T[1]= -0.019615296; T[2]= 0.023020705; x= -0.016160976; y=  -0.377362102; z=  0.057340313; w= 0.924147546
timeStamp= 1305031230.197772026; T[0]= -0.019777503; T[1]= -0.019696021; T[2]= 0.021119019; x= -0.015508005; y=  -0.390455216; z=  0.057578109; w= 0.918688715
timeStamp= 1305031230.229830027; T[0]= -0.023387413; T[1]= -0.020329854; T[2]= 0.019514192; x= -0.015892688; y=  -0.403844118; z=  0.058876608; w= 0.912792861
timeStamp= 1305031230.265579939; T[0]= -0.025723621; T[1]= -0.019839887; T[2]= 0.016748615; x= -0.015624954; y=  -0.417711526; z=  0.060330920; w= 0.906439781
timeStamp= 1305031230.297981977; T[0]= -0.028266782; T[1]= -0.021144588; T[2]= 0.018567158; x= -0.017488793; y=  -0.433863938; z=  0.062227029; w= 0.898656785
timeStamp= 1305031230.325685024; T[0]= -0.031512503; T[1]= -0.022837721; T[2]= 0.016149972; x= -0.016760480; y=  -0.447348237; z=  0.064222701; w= 0.891893506
timeStamp= 1305031230.365649939; T[0]= -0.033130232; T[1]= -0.021118421; T[2]= 0.012668303; x= -0.015998362; y=  -0.461934268; z=  0.065770499; w= 0.884327412
timeStamp= 1305031230.397264957; T[0]= -0.036217012; T[1]= -0.022142509; T[2]= 0.012613671; x= -0.017863506; y=  -0.478486598; z=  0.068242341; w= 0.875256777
timeStamp= 1305031230.425669909; T[0]= -0.040086333; T[1]= -0.023155926; T[2]= 0.008092113; x= -0.019696314; y=  -0.494152933; z=  0.071434565; w= 0.866211295
timeStamp= 1305031230.465219975; T[0]= -0.043985348; T[1]= -0.024394028; T[2]= 0.004434147; x= -0.021351729; y=  -0.513959587; z=  0.073986866; w= 0.854350924
timeStamp= 1305031230.497227907; T[0]= -0.048006386; T[1]= -0.024032658; T[2]= 0.000622510; x= -0.023540650; y=  -0.538007736; z=  0.075940832; w= 0.839182019
timeStamp= 1305031230.526720047; T[0]= -0.052541077; T[1]= -0.026298795; T[2]= 0.000365434; x= -0.027038269; y=  -0.562858880; z=  0.079819813; w= 0.822245419
timeStamp= 1305031230.566083908; T[0]= -0.053981241; T[1]= -0.024438424; T[2]= -0.001657461; x= -0.027430583; y=  -0.586031377; z=  0.081048205; w= 0.805757999
timeStamp= 1305031230.598824978; T[0]= -0.059980627; T[1]= -0.023256574; T[2]= -0.000471666; x= -0.028553545; y=  -0.609155536; z=  0.081511073; w= 0.788333774
timeStamp= 1305031230.626028061; T[0]= -0.064086519; T[1]= -0.022826297; T[2]= -0.007655300; x= -0.029549398; y=  -0.629841328; z=  0.082289547; w= 0.771786928
timeStamp= 1305031230.665795088; T[0]= -0.067071028; T[1]= -0.020555150; T[2]= -0.007508201; x= -0.030826390; y=  -0.647516787; z=  0.080979027; w= 0.757109046
timeStamp= 1305031230.697932005; T[0]= -0.075216241; T[1]= -0.019319484; T[2]= -0.006469940; x= -0.031699367; y=  -0.662473679; z=  0.081168145; w= 0.743999600
timeStamp= 1305031230.725671053; T[0]= -0.076262161; T[1]= -0.020066241; T[2]= -0.011907741; x= -0.033515360; y=  -0.676782966; z=  0.081734903; w= 0.730863154
timeStamp= 1305031230.765853882; T[0]= -0.081319883; T[1]= -0.020900488; T[2]= -0.011785122; x= -0.034691349; y=  -0.692084193; z=  0.082159787; w= 0.716286063
timeStamp= 1305031230.797302961; T[0]= -0.093027860; T[1]= -0.021103922; T[2]= -0.008739831; x= -0.033463985; y=  -0.707920015; z=  0.083689295; w= 0.700517952
timeStamp= 1305031230.825728893; T[0]= -0.087684982; T[1]= -0.022845287; T[2]= -0.016882800; x= -0.033685841; y=  -0.722761571; z=  0.086454965; w= 0.684840441
timeStamp= 1305031230.865523100; T[0]= -0.096341975; T[1]= -0.023314204; T[2]= -0.017425355; x= -0.033181798; y=  -0.739160776; z=  0.088059247; w= 0.666922688
timeStamp= 1305031230.897378922; T[0]= -0.098710217; T[1]= -0.023109403; T[2]= -0.023586111; x= -0.030994859; y=  -0.753887475; z=  0.089977935; w= 0.650074542
timeStamp= 1305031230.925859928; T[0]= -0.101645477; T[1]= -0.024144020; T[2]= -0.031929493; x= -0.029958151; y=  -0.765432358; z=  0.091582060; w= 0.636261284
timeStamp= 1305031230.964976072; T[0]= -0.108066946; T[1]= -0.017238829; T[2]= -0.020099882; x= -0.028402388; y=  -0.774219632; z=  0.093516000; w= 0.625325441
timeStamp= 1305031230.997080088; T[0]= -0.124946266; T[1]= 0.008867253; T[2]= -0.025332335; x= -0.022690680; y=  -0.778279066; z=  0.094477400; w= 0.620355368
timeStamp= 1305031231.025652885; T[0]= -0.128891543; T[1]= 0.006336836; T[2]= -0.019611400; x= -0.022802094; y=  -0.780205607; z=  0.094628602; w= 0.617903352
timeStamp= 1305031231.064421892; T[0]= -0.131675214; T[1]= 0.012111234; T[2]= -0.016309388; x= -0.020560872; y=  -0.779763460; z=  0.095300607; w= 0.618436635
timeStamp= 1305031231.096775055; T[0]= -0.123448342; T[1]= 0.013168048; T[2]= -0.022682622; x= -0.020545816; y=  -0.777807593; z=  0.094663844; w= 0.620992661
timeStamp= 1305031231.125727892; T[0]= -0.132986531; T[1]= 0.010636866; T[2]= -0.015577082; x= -0.021861305; y=  -0.777709484; z=  0.094591513; w= 0.621081650
timeStamp= 1305031231.165241003; T[0]= -0.133728936; T[1]= 0.019966889; T[2]= -0.014024494; x= -0.020540601; y=  -0.775847852; z=  0.096054763; w= 0.623226702
timeStamp= 1305031231.197746992; T[0]= -0.141235143; T[1]= 0.026173184; T[2]= -0.004224601; x= -0.020659434; y=  -0.771844447; z=  0.095285304; w= 0.628291309
timeStamp= 1305031231.225711107; T[0]= -0.147744149; T[1]= 0.033166990; T[2]= 0.022048313; x= -0.019522049; y=  -0.764001429; z=  0.096775219; w= 0.637616813
timeStamp= 1305031231.265594006; T[0]= -0.128444597; T[1]= 0.025521174; T[2]= 0.001313146; x= -0.021701202; y=  -0.745086730; z=  0.096224673; w= 0.659632862
timeStamp= 1305031231.297846079; T[0]= -0.133744106; T[1]= 0.024541244; T[2]= 0.005344311; x= -0.022871507; y=  -0.726003408; z=  0.095537320; w= 0.680638254
timeStamp= 1305031231.325741053; T[0]= -0.127752841; T[1]= 0.025116870; T[2]= 0.009354414; x= -0.023792479; y=  -0.703818321; z=  0.093335196; w= 0.703819633
timeStamp= 1305031231.365066051; T[0]= -0.128686488; T[1]= 0.025064658; T[2]= 0.017012235; x= -0.024234384; y=  -0.681957364; z=  0.089828052; w= 0.725449979
timeStamp= 1305031231.397128105; T[0]= -0.123473108; T[1]= 0.023525549; T[2]= 0.016515428; x= -0.025493162; y=  -0.660223484; z=  0.088251345; w= 0.745430470
timeStamp= 1305031231.425688028; T[0]= -0.117746435; T[1]= 0.022985263; T[2]= 0.016551509; x= -0.028652571; y=  -0.640990496; z=  0.086626753; w= 0.762106240
timeStamp= 1305031231.464917898; T[0]= -0.115213774; T[1]= 0.022712208; T[2]= 0.023395021; x= -0.032048363; y=  -0.625086188; z=  0.084876910; w= 0.775265098
timeStamp= 1305031231.493669033; T[0]= -0.115140788; T[1]= 0.020726059; T[2]= 0.030458564; x= -0.035030998; y=  -0.609368801; z=  0.083870500; w= 0.787659883
timeStamp= 1305031231.525754929; T[0]= -0.112651095; T[1]= 0.020769395; T[2]= 0.032757338; x= -0.037370086; y=  -0.593931735; z=  0.082817219; w= 0.799368322
timeStamp= 1305031231.565052032; T[0]= -0.106190771; T[1]= 0.021065775; T[2]= 0.032957636; x= -0.039439656; y=  -0.578891098; z=  0.081392057; w= 0.810373247
timeStamp= 1305031231.593736887; T[0]= -0.106805980; T[1]= 0.021886967; T[2]= 0.036002073; x= -0.041271884; y=  -0.563993335; z=  0.079192936; w= 0.820936322
timeStamp= 1305031231.625704050; T[0]= -0.104524955; T[1]= 0.021604568; T[2]= 0.038718648; x= -0.042092636; y=  -0.548689365; z=  0.077345237; w= 0.831375837
timeStamp= 1305031231.665045023; T[0]= -0.101706490; T[1]= 0.022257872; T[2]= 0.041033015; x= -0.041833106; y=  -0.533378363; z=  0.075311400; w= 0.841478229
timeStamp= 1305031231.693701982; T[0]= -0.099714622; T[1]= 0.022830017; T[2]= 0.039547715; x= -0.042224873; y=  -0.516889632; z=  0.072355859; w= 0.851942897
timeStamp= 1305031231.725886106; T[0]= -0.097129941; T[1]= 0.024170237; T[2]= 0.040642515; x= -0.041810237; y=  -0.499644071; z=  0.068221614; w= 0.862527370
timeStamp= 1305031231.765477896; T[0]= -0.095021158; T[1]= 0.026678871; T[2]= 0.045000240; x= -0.041425992; y=  -0.478092998; z=  0.062246513; w= 0.875120759
timeStamp= 1305031231.793723106; T[0]= -0.093760192; T[1]= 0.027669858; T[2]= 0.045725692; x= -0.041006923; y=  -0.455107212; z=  0.055809055; w= 0.887739301
timeStamp= 1305031231.825685978; T[0]= -0.089680403; T[1]= 0.026926221; T[2]= 0.050344415; x= -0.041415580; y=  -0.433218449; z=  0.049642459; w= 0.898967206
timeStamp= 1305031231.864939928; T[0]= -0.087121002; T[1]= 0.026994921; T[2]= 0.051188108; x= -0.039347298; y=  -0.406753272; z=  0.042353064; w= 0.911707044
timeStamp= 1305031231.893727064; T[0]= -0.088653639; T[1]= 0.028277405; T[2]= 0.048054323; x= -0.037126571; y=  -0.376797378; z=  0.035136364; w= 0.924884140
timeStamp= 1305031231.925705910; T[0]= -0.088607401; T[1]= 0.026576398; T[2]= 0.047037724; x= -0.037218049; y=  -0.352009326; z=  0.030058455; w= 0.934773028
timeStamp= 1305031231.965009928; T[0]= -0.087431498; T[1]= 0.028292634; T[2]= 0.047036320; x= -0.034463111; y=  -0.328896642; z=  0.025567112; w= 0.943390429
timeStamp= 1305031231.993726015; T[0]= -0.091834217; T[1]= 0.028642882; T[2]= 0.041873954; x= -0.033748526; y=  -0.305254549; z=  0.022044009; w= 0.951417148
timeStamp= 1305031232.025789976; T[0]= -0.087358959; T[1]= 0.028325245; T[2]= 0.043910157; x= -0.032998942; y=  -0.286562562; z=  0.020054976; w= 0.957282960
timeStamp= 1305031232.065121889; T[0]= -0.084397718; T[1]= 0.030121060; T[2]= 0.044724956; x= -0.031170325; y=  -0.265790015; z=  0.017110769; w= 0.963374913
timeStamp= 1305031232.093724966; T[0]= -0.087756060; T[1]= 0.032338470; T[2]= 0.042347196; x= -0.029658420; y=  -0.242376462; z=  0.014727673; w= 0.969616950
timeStamp= 1305031232.125662088; T[0]= -0.087939717; T[1]= 0.030622762; T[2]= 0.041123278; x= -0.028964125; y=  -0.223365441; z=  0.012112262; w= 0.974228978
timeStamp= 1305031232.165031910; T[0]= -0.082835205; T[1]= 0.031899098; T[2]= 0.042395495; x= -0.026924657; y=  -0.208853945; z=  0.009977827; w= 0.977525175
timeStamp= 1305031232.193716049; T[0]= -0.084590875; T[1]= 0.035779376; T[2]= 0.037450694; x= -0.024262689; y=  -0.187315106; z=  0.007554802; w= 0.981971085
timeStamp= 1305031232.225682974; T[0]= -0.085102275; T[1]= 0.035672858; T[2]= 0.038110413; x= -0.024239158; y=  -0.168060526; z=  0.004066603; w= 0.985470176
timeStamp= 1305031232.262691021; T[0]= -0.076151751; T[1]= 0.033621144; T[2]= 0.039988626; x= -0.023600828; y=  -0.153042555; z=  -0.000044322; w= 0.987937689
timeStamp= 1305031232.293854952; T[0]= -0.075470790; T[1]= 0.039668418; T[2]= 0.038869444; x= -0.021554807; y=  -0.133210897; z=  -0.002966440; w= 0.990848839
timeStamp= 1305031232.325618982; T[0]= -0.077318855; T[1]= 0.037023809; T[2]= 0.038885385; x= -0.021576814; y=  -0.113555118; z=  -0.007686391; w= 0.993267596
timeStamp= 1305031232.364737988; T[0]= -0.075617306; T[1]= 0.040114313; T[2]= 0.037729740; x= -0.020035237; y=  -0.099044845; z=  -0.009961089; w= 0.994831324
timeStamp= 1305031232.393713951; T[0]= -0.075412370; T[1]= 0.032766905; T[2]= 0.035865877; x= -0.023805300; y=  -0.086162493; z=  -0.015121644; w= 0.995881796
timeStamp= 1305031232.425720930; T[0]= -0.080514178; T[1]= 0.036768168; T[2]= 0.034931727; x= -0.022241358; y=  -0.072984174; z=  -0.016818073; w= 0.996943176
timeStamp= 1305031232.464703083; T[0]= -0.078383431; T[1]= 0.034826424; T[2]= 0.034652356; x= -0.022312591; y=  -0.065788612; z=  -0.020191072; w= 0.997379661
timeStamp= 1305031232.493649960; T[0]= -0.073332801; T[1]= 0.034570463; T[2]= 0.034328718; x= -0.022414932; y=  -0.057844169; z=  -0.021153517; w= 0.997849703
timeStamp= 1305031232.525780916; T[0]= -0.077825814; T[1]= 0.036643270; T[2]= 0.031112798; x= -0.021599945; y=  -0.042268876; z=  -0.023953572; w= 0.998585463
timeStamp= 1305031232.564713955; T[0]= -0.080860578; T[1]= 0.034802325; T[2]= 0.030994534; x= -0.021776583; y=  -0.028463859; z=  -0.027680092; w= 0.998974144
timeStamp= 1305031232.593722105; T[0]= -0.073973395; T[1]= 0.033592563; T[2]= 0.028728072; x= -0.021907348; y=  -0.017527912; z=  -0.030308774; w= 0.999146700
timeStamp= 1305031232.625782967; T[0]= -0.074751437; T[1]= 0.034635276; T[2]= 0.025820822; x= -0.022060752; y=  -0.000029603; z=  -0.034082223; w= 0.999175489
timeStamp= 1305031232.664695024; T[0]= -0.079230025; T[1]= 0.034972604; T[2]= 0.027880363; x= -0.021419736; y=  0.016856633; z=  -0.038640101; w= 0.998881340
timeStamp= 1305031232.693701029; T[0]= -0.077065811; T[1]= 0.033837672; T[2]= 0.024097038; x= -0.019595375; y=  0.030169982; z=  -0.042439695; w= 0.998451054
timeStamp= 1305031232.725876093; T[0]= -0.073081136; T[1]= 0.032558948; T[2]= 0.020758862; x= -0.020289788; y=  0.045419063; z=  -0.046820078; w= 0.997663856
timeStamp= 1305031232.761718988; T[0]= -0.076191448; T[1]= 0.032990210; T[2]= 0.021981645; x= -0.020522689; y=  0.065002352; z=  -0.052637774; w= 0.996284425
timeStamp= 1305031232.793672085; T[0]= -0.077796802; T[1]= 0.031395916; T[2]= 0.022643659; x= -0.018494850; y=  0.083113737; z=  -0.058681469; w= 0.994638860
timeStamp= 1305031232.825767040; T[0]= -0.076190636; T[1]= 0.036326099; T[2]= 0.018490680; x= -0.015626801; y=  0.098035097; z=  -0.060598131; w= 0.993213356
timeStamp= 1305031232.861665964; T[0]= -0.077740423; T[1]= 0.033922151; T[2]= 0.015181887; x= -0.016214333; y=  0.111974210; z=  -0.063469052; w= 0.991549551
timeStamp= 1305031232.893682957; T[0]= -0.071023837; T[1]= 0.038706057; T[2]= 0.011422988; x= -0.012718990; y=  0.117825180; z=  -0.060188398; w= 0.991127014
timeStamp= 1305031232.925755978; T[0]= -0.072755478; T[1]= 0.050967090; T[2]= 0.015986267; x= -0.008091526; y=  0.122079387; z=  -0.054279484; w= 0.991001904
timeStamp= 1305031232.961662054; T[0]= -0.065284647; T[1]= 0.049830306; T[2]= 0.008999573; x= -0.006701944; y=  0.120048255; z=  -0.050946336; w= 0.991437256
timeStamp= 1305031232.993640900; T[0]= -0.089798756; T[1]= 0.068266973; T[2]= 0.011535301; x= -0.001889021; y=  0.127062157; z=  -0.044485953; w= 0.990894794
timeStamp= 1305031233.025746107; T[0]= -0.096496761; T[1]= 0.083334804; T[2]= 0.018564081; x= 0.003207387; y=  0.115685686; z=  -0.032188311; w= 0.992758989
timeStamp= 1305031233.061697006; T[0]= -0.093859442; T[1]= 0.085391760; T[2]= 0.018413156; x= 0.006846397; y=  0.091811344; z=  -0.022414761; w= 0.995500505
timeStamp= 1305031233.093700886; T[0]= -0.095072269; T[1]= 0.088102862; T[2]= 0.012352651; x= 0.008796383; y=  0.061405998; z=  -0.012273753; w= 0.997998595
timeStamp= 1305031233.125845909; T[0]= -0.089197494; T[1]= 0.087823927; T[2]= 0.010635018; x= 0.007190268; y=  0.031831194; z=  -0.002624886; w= 0.999463916
timeStamp= 1305031233.161744118; T[0]= -0.085834697; T[1]= 0.089593038; T[2]= 0.006159679; x= 0.003668624; y=  0.020700380; z=  0.003697840; w= 0.999772131
timeStamp= 1305031233.193761110; T[0]= -0.092634082; T[1]= 0.087772295; T[2]= 0.011369011; x= -0.003949781; y=  0.016472762; z=  0.004383071; w= 0.999846876
timeStamp= 1305031233.225763083; T[0]= -0.102205411; T[1]= 0.086056955; T[2]= 0.017552637; x= -0.009542671; y=  0.009371596; z=  0.005002772; w= 0.999897957
timeStamp= 1305031233.261687040; T[0]= -0.099915646; T[1]= 0.091579936; T[2]= 0.019643234; x= -0.006451623; y=  -0.016422490; z=  0.010880250; w= 0.999785066
timeStamp= 1305031233.293802023; T[0]= -0.104127027; T[1]= 0.094387233; T[2]= 0.014019001; x= -0.007678144; y=  -0.050874654; z=  0.018579911; w= 0.998502612
timeStamp= 1305031233.325798035; T[0]= -0.123288333; T[1]= 0.100037023; T[2]= 0.019944999; x= -0.007840750; y=  -0.098569632; z=  0.029325059; w= 0.994666994
timeStamp= 1305031233.361799955; T[0]= -0.121280015; T[1]= 0.094625257; T[2]= 0.011554532; x= -0.011096975; y=  -0.142446458; z=  0.039665755; w= 0.988945127
timeStamp= 1305031233.393685102; T[0]= -0.123004958; T[1]= 0.095639229; T[2]= 0.017716933; x= -0.013694140; y=  -0.186814129; z=  0.045519374; w= 0.981244564
timeStamp= 1305031233.425708055; T[0]= -0.136732176; T[1]= 0.093637623; T[2]= 0.017639372; x= -0.014535344; y=  -0.219393134; z=  0.050335545; w= 0.974228740
timeStamp= 1305031233.461836100; T[0]= -0.100855187; T[1]= 0.087831825; T[2]= 0.034883313; x= -0.018134911; y=  -0.260617733; z=  0.053719141; w= 0.963775754
timeStamp= 1305031233.493691921; T[0]= -0.102496803; T[1]= 0.088973239; T[2]= 0.036678843; x= -0.016924975; y=  -0.273715317; z=  0.052635070; w= 0.960220277
timeStamp= 1305031233.525707960; T[0]= -0.104558505; T[1]= 0.086845122; T[2]= 0.038084596; x= -0.016326215; y=  -0.288894922; z=  0.051610190; w= 0.955829203
timeStamp= 1305031233.561784983; T[0]= -0.113438733; T[1]= 0.087215602; T[2]= 0.033607487; x= -0.015875313; y=  -0.303579628; z=  0.053376894; w= 0.951177239
timeStamp= 1305031233.593760014; T[0]= -0.122460008; T[1]= 0.082554951; T[2]= 0.032711446; x= -0.016825447; y=  -0.326384813; z=  0.056478377; w= 0.943398118
timeStamp= 1305031233.625706911; T[0]= -0.116579294; T[1]= 0.083788604; T[2]= 0.035190608; x= -0.015699487; y=  -0.356720239; z=  0.060837720; w= 0.932095945
timeStamp= 1305031233.661700010; T[0]= -0.113726467; T[1]= 0.086423986; T[2]= 0.037179220; x= -0.015040825; y=  -0.379140824; z=  0.064607598; w= 0.922958195
timeStamp= 1305031233.693778992; T[0]= -0.108113915; T[1]= 0.083763145; T[2]= 0.042714909; x= -0.016371544; y=  -0.397025913; z=  0.065579168; w= 0.915315092
timeStamp= 1305031233.725574970; T[0]= -0.093229495; T[1]= 0.087527297; T[2]= 0.052736722; x= -0.014390731; y=  -0.409326673; z=  0.063592486; w= 0.910055220
timeStamp= 1305031233.761642933; T[0]= -0.089499533; T[1]= 0.098853320; T[2]= 0.065911144; x= -0.010233388; y=  -0.409597039; z=  0.061250243; w= 0.910150468
timeStamp= 1305031233.793746948; T[0]= -0.093074262; T[1]= 0.100346126; T[2]= 0.062885232; x= -0.011246345; y=  -0.399967879; z=  0.057743117; w= 0.914639235
timeStamp= 1305031233.825686932; T[0]= -0.092031941; T[1]= 0.088061281; T[2]= 0.059818421; x= -0.017076408; y=  -0.395095348; z=  0.054658242; w= 0.916853547
timeStamp= 1305031233.861613035; T[0]= -0.093671143; T[1]= 0.091025636; T[2]= 0.059949555; x= -0.013670017; y=  -0.394730717; z=  0.055414379; w= 0.917022347
timeStamp= 1305031233.893718004; T[0]= -0.095882840; T[1]= 0.089061923; T[2]= 0.056237467; x= -0.014044678; y=  -0.394625038; z=  0.056289032; w= 0.917008877
timeStamp= 1305031233.925841093; T[0]= -0.091588438; T[1]= 0.087245010; T[2]= 0.061448537; x= -0.013022867; y=  -0.398070872; z=  0.059057873; w= 0.915359020
timeStamp= 1305031233.961747885; T[0]= -0.088128604; T[1]= 0.088502340; T[2]= 0.065747984; x= -0.008004687; y=  -0.398327768; z=  0.060931347; w= 0.915182054
timeStamp= 1305031233.993721962; T[0]= -0.083849952; T[1]= 0.082178384; T[2]= 0.071427472; x= -0.003992149; y=  -0.398399740; z=  0.062526174; w= 0.915069461
timeStamp= 1305031234.025785923; T[0]= -0.079419672; T[1]= 0.084970117; T[2]= 0.068154484; x= 0.005724482; y=  -0.392936558; z=  0.065493971; w= 0.917212367
timeStamp= 1305031234.061675072; T[0]= -0.079410926; T[1]= 0.085737817; T[2]= 0.077813029; x= 0.013336236; y=  -0.389440596; z=  0.069140986; w= 0.918355942
timeStamp= 1305031234.093790054; T[0]= -0.083034039; T[1]= 0.087705180; T[2]= 0.084990382; x= 0.024037315; y=  -0.384722620; z=  0.072521411; w= 0.919864833
timeStamp= 1305031234.129606009; T[0]= -0.078140624; T[1]= 0.085433453; T[2]= 0.082500458; x= 0.033960659; y=  -0.380573690; z=  0.075439058; w= 0.921042442
timeStamp= 1305031234.161729097; T[0]= -0.083525971; T[1]= 0.093088031; T[2]= 0.074503392; x= 0.047249217; y=  -0.372497261; z=  0.077912472; w= 0.923549056
timeStamp= 1305031234.193710089; T[0]= -0.085453197; T[1]= 0.081928805; T[2]= 0.083576247; x= 0.051137913; y=  -0.372177213; z=  0.082373217; w= 0.923083782
timeStamp= 1305031234.229746103; T[0]= -0.084076062; T[1]= 0.083700575; T[2]= 0.066923261; x= 0.064793155; y=  -0.365439057; z=  0.084952518; w= 0.924683273
timeStamp= 1305031234.261751890; T[0]= -0.086111583; T[1]= 0.086820334; T[2]= 0.062513709; x= 0.073751524; y=  -0.361152560; z=  0.087976351; w= 0.925413251
timeStamp= 1305031234.293697119; T[0]= -0.085215792; T[1]= 0.081058301; T[2]= 0.064466022; x= 0.079425514; y=  -0.359165341; z=  0.091894619; w= 0.925336242
timeStamp= 1305031234.329653978; T[0]= -0.085773721; T[1]= 0.080554642; T[2]= 0.064268656; x= 0.091114208; y=  -0.357094318; z=  0.095508859; w= 0.924694419
timeStamp= 1305031234.361612082; T[0]= -0.086922504; T[1]= 0.084950715; T[2]= 0.063279346; x= 0.102635577; y=  -0.355002046; z=  0.098660983; w= 0.923961818
timeStamp= 1305031234.393723011; T[0]= -0.086108349; T[1]= 0.082546309; T[2]= 0.064834848; x= 0.110888727; y=  -0.353882670; z=  0.102665342; w= 0.923000813
timeStamp= 1305031234.429702997; T[0]= -0.082172386; T[1]= 0.074946016; T[2]= 0.068031467; x= 0.120195545; y=  -0.353351831; z=  0.106305093; w= 0.921626091
timeStamp= 1305031234.461689949; T[0]= -0.082524806; T[1]= 0.080492802; T[2]= 0.065466568; x= 0.138134509; y=  -0.348525971; z=  0.110765785; w= 0.920423508
timeStamp= 1305031234.493830919; T[0]= -0.081697963; T[1]= 0.078366466; T[2]= 0.066489719; x= 0.149191394; y=  -0.345673561; z=  0.115346007; w= 0.919209957
timeStamp= 1305031234.529644966; T[0]= -0.079266146; T[1]= 0.069884628; T[2]= 0.062585473; x= 0.163033471; y=  -0.342075109; z=  0.121483460; w= 0.917412877
timeStamp= 1305031234.561675072; T[0]= -0.079714730; T[1]= 0.076899357; T[2]= 0.060411863; x= 0.183301866; y=  -0.340181559; z=  0.127889007; w= 0.913411856
timeStamp= 1305031234.593780041; T[0]= -0.077257775; T[1]= 0.073911771; T[2]= 0.060881224; x= 0.197287560; y=  -0.339861184; z=  0.132744983; w= 0.909917951
timeStamp= 1305031234.630012989; T[0]= -0.075729430; T[1]= 0.074050620; T[2]= 0.061466184; x= 0.215810210; y=  -0.337229609; z=  0.139391720; w= 0.905688703
timeStamp= 1305031234.661617994; T[0]= -0.074299090; T[1]= 0.075761415; T[2]= 0.058958437; x= 0.232332483; y=  -0.334008634; z=  0.143292904; w= 0.902178943
timeStamp= 1305031234.693749905; T[0]= -0.074076608; T[1]= 0.075395606; T[2]= 0.058551092; x= 0.249806881; y=  -0.329747468; z=  0.147202894; w= 0.898439944
